+-----+---------+------------+--------------+------+--------+---------+-------------------------------------+-------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
| id  | site_id | qr_code_id | scanned_date | hour | VISITS | UNIQUES | user_browser                        | user_device_os                                        | ipaddress                                                                                                                |
+-----+---------+------------+--------------+------+--------+---------+-------------------------------------+-------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
|   1 |    1001 |          1 | 2022-04-30   | 12   | 3      | 1       | {'chrome': 3}                       | {'windows': 3}                                        | ['127.0.0.1']                                                                                                            |
|   2 |    1001 |          1 | 2022-04-30   | 13   | 3      | 1       | {'chrome': 3}                       | {'windows': 3}                                        | ['127.0.0.1']                                                                                                            |
|   3 |    1001 |          1 | 2022-04-30   | 15   | 6      | 1       | {'chrome': 6}                       | {'windows': 6}                                        | ['127.0.0.1']                                                                                                            |
|   4 |    1001 |          2 | 2022-04-30   | 15   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|   5 |    1001 |          1 | 2022-04-30   | 10   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['103.44.12.234']                                                                                                        |
|   6 |    1001 |          1 | 2022-04-30   | 16   | 30     | 4       | {'chrome': 30}                      | {'windows': 14, 'linux': 16}                          | ['103.44.12.234', '66.249.88.221', '175.101.84.139', '127.0.0.1']                                                        |
|   7 |       1 |          1 | 2022-04-30   | 16   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|   8 |    1001 |          1 | 2022-04-30   | 17   | 5      | 1       | {'chrome': 5}                       | {'windows': 5}                                        | ['127.0.0.1']                                                                                                            |
|   9 |    1001 |          2 | 2022-04-30   | 17   | 5      | 1       | {'chrome': 5}                       | {'windows': 5}                                        | ['127.0.0.1']                                                                                                            |
|  10 |    1002 |          2 | 2022-04-30   | 17   | 4      | 1       | {'chrome': 4}                       | {'windows': 4}                                        | ['127.0.0.1']                                                                                                            |
|  11 |    1002 |          1 | 2022-04-30   | 17   | 4      | 1       | {'chrome': 4}                       | {'windows': 4}                                        | ['127.0.0.1']                                                                                                            |
|  12 |    1002 |          3 | 2022-04-30   | 17   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|  13 |    1002 |          4 | 2022-04-30   | 17   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|  14 |    1001 |          4 | 2022-04-30   | 17   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|  15 |    1001 |          1 | 2022-04-30   | 18   | 10     | 1       | {'chrome': 10}                      | {'windows': 10}                                       | ['127.0.0.1']                                                                                                            |
|  16 |    1001 |          4 | 2022-04-30   | 18   | 3      | 1       | {'chrome': 3}                       | {'windows': 3}                                        | ['127.0.0.1']                                                                                                            |
|  17 |    1002 |          1 | 2022-04-30   | 18   | 5      | 1       | {'chrome': 5}                       | {'windows': 5}                                        | ['127.0.0.1']                                                                                                            |
|  18 |    1002 |          4 | 2022-04-30   | 18   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|  19 |    1002 |          2 | 2022-04-30   | 18   | 5      | 1       | {'chrome': 5}                       | {'windows': 5}                                        | ['127.0.0.1']                                                                                                            |
|  20 |    1001 |          2 | 2022-04-30   | 18   | 4      | 1       | {'chrome': 4}                       | {'windows': 4}                                        | ['127.0.0.1']                                                                                                            |
|  21 |    1001 |          3 | 2022-04-30   | 18   | 8      | 1       | {'chrome': 8}                       | {'windows': 8}                                        | ['127.0.0.1']                                                                                                            |
|  22 |    1001 |          1 | 2022-04-30   | 19   | 2      | 1       | {'chrome': 2}                       | {'windows': 2}                                        | ['127.0.0.1']                                                                                                            |
|  23 |    1001 |          3 | 2022-04-30   | 19   | 4      | 1       | {'chrome': 4}                       | {'windows': 4}                                        | ['127.0.0.1']                                                                                                            |
|  24 |    1001 |          2 | 2022-04-30   | 19   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|  25 |    1001 |          4 | 2022-04-30   | 19   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|  26 |    1002 |          1 | 2022-04-30   | 19   | 5      | 1       | {'chrome': 5}                       | {'windows': 5}                                        | ['127.0.0.1']                                                                                                            |
|  27 |    1002 |          1 | 2022-04-30   | 20   | 10     | 2       | {'chrome': 10}                      | {'windows': 10}                                       | ['127.0.0.1', '103.44.12.234']                                                                                           |
|  28 |    1001 |          1 | 2022-04-30   | 20   | 11     | 2       | {'chrome': 11}                      | {'windows': 11}                                       | ['127.0.0.1', '103.44.12.234']                                                                                           |
|  29 |    1001 |          2 | 2022-04-30   | 20   | 4      | 2       | {'chrome': 4}                       | {'windows': 4}                                        | ['103.44.12.234', '127.0.0.1']                                                                                           |
|  30 |    1001 |          3 | 2022-04-30   | 20   | 2      | 2       | {'chrome': 2}                       | {'windows': 2}                                        | ['103.44.12.234', '127.0.0.1']                                                                                           |
|  31 |    1002 |          1 | 2022-04-30   | 21   | 4      | 2       | {'chrome': 4}                       | {'windows': 4}                                        | ['127.0.0.1', '103.44.12.234']                                                                                           |
|  32 |    1001 |          1 | 2022-04-30   | 21   | 6      | 2       | {'chrome': 6}                       | {'windows': 6}                                        | ['127.0.0.1', '103.44.12.234']                                                                                           |
|  33 |    1001 |          2 | 2022-04-30   | 21   | 3      | 2       | {'chrome': 3}                       | {'windows': 3}                                        | ['127.0.0.1', '103.44.12.234']                                                                                           |
|  34 |    1001 |          3 | 2022-04-30   | 21   | 3      | 2       | {'chrome': 3}                       | {'windows': 3}                                        | ['127.0.0.1', '103.44.12.234']                                                                                           |
|  35 |    1004 |          1 | 2022-04-30   | 21   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['103.44.12.234']                                                                                                        |
|  36 |     101 |          1 | 2022-05-01   | 08   | 2      | 1       | {'chrome': 2}                       | {'android': 2}                                        | ['157.47.87.86']                                                                                                         |
|  37 |    1001 |          1 | 2022-05-01   | 09   | 1      | 1       | {'chrome': 1}                       | {'android': 1}                                        | ['157.47.59.76']                                                                                                         |
|  38 |     101 |          1 | 2022-05-01   | 09   | 1      | 1       | {'chrome': 1}                       | {'android': 1}                                        | ['157.47.76.1']                                                                                                          |
|  39 |    1001 |          2 | 2022-05-01   | 09   | 1      | 1       | {'chrome': 1}                       | {'android': 1}                                        | ['157.47.59.76']                                                                                                         |
|  40 |    1001 |          3 | 2022-05-01   | 09   | 1      | 1       | {'chrome': 1}                       | {'android': 1}                                        | ['157.47.59.76']                                                                                                         |
|  41 |    1001 |          3 | 2022-05-01   | 12   | 2      | 1       | {'chrome': 2}                       | {'android': 2}                                        | ['157.47.46.214']                                                                                                        |
|  42 |    1001 |          1 | 2022-05-01   | 12   | 3      | 1       | {'chrome': 3}                       | {'android': 3}                                        | ['157.47.46.214']                                                                                                        |
|  43 |    1001 |          2 | 2022-05-01   | 12   | 1      | 1       | {'chrome': 1}                       | {'android': 1}                                        | ['157.47.46.214']                                                                                                        |
|  44 |    1002 |          1 | 2022-05-01   | 12   | 1      | 1       | {'chrome': 1}                       | {'android': 1}                                        | ['157.47.46.214']                                                                                                        |
|  45 |    1001 |          1 | 2022-05-01   | 14   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['175.101.84.139']                                                                                                       |
|  46 |    1001 |          2 | 2022-05-01   | 14   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['175.101.84.139']                                                                                                       |
|  47 |    1001 |          3 | 2022-05-01   | 14   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['175.101.84.139']                                                                                                       |
|  48 |    1002 |          1 | 2022-05-01   | 14   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['175.101.84.139']                                                                                                       |
|  49 |    1001 |          2 | 2022-05-01   | 16   | 1      | 1       | {'chrome': 1}                       | {'android': 1}                                        | ['175.101.84.139']                                                                                                       |
|  50 |    1001 |          3 | 2022-05-01   | 16   | 1      | 1       | {'chrome': 1}                       | {'android': 1}                                        | ['175.101.84.139']                                                                                                       |
|  51 |    1002 |          1 | 2022-05-01   | 16   | 2      | 1       | {'chrome': 2}                       | {'android': 2}                                        | ['175.101.84.139']                                                                                                       |
|  52 |    1001 |          1 | 2022-05-01   | 16   | 2      | 2       | {'chrome': 2}                       | {'android': 2}                                        | ['175.101.84.139', '157.47.32.103']                                                                                      |
|  53 |    1001 |          1 | 2022-05-02   | 12   | 3      | 1       | {'chrome': 3}                       | {'windows': 3}                                        | ['127.0.0.1']                                                                                                            |
|  54 |    1001 |          2 | 2022-05-02   | 12   | 5      | 1       | {'chrome': 5}                       | {'windows': 5}                                        | ['127.0.0.1']                                                                                                            |
|  55 |    1001 |          3 | 2022-05-02   | 12   | 3      | 1       | {'chrome': 3}                       | {'windows': 3}                                        | ['127.0.0.1']                                                                                                            |
|  56 |    1001 |          4 | 2022-05-02   | 12   | 2      | 1       | {'chrome': 2}                       | {'windows': 2}                                        | ['127.0.0.1']                                                                                                            |
|  57 |    1001 |          4 | 2022-05-02   | 10   | 10     | 1       | {'chrome': 10}                      | {'windows': 10}                                       | ['127.0.0.1']                                                                                                            |
|  58 |    1001 |          3 | 2022-05-02   | 10   | 2      | 1       | {'chrome': 2}                       | {'windows': 2}                                        | ['127.0.0.1']                                                                                                            |
|  59 |    1001 |          2 | 2022-05-02   | 10   | 2      | 1       | {'chrome': 2}                       | {'windows': 2}                                        | ['127.0.0.1']                                                                                                            |
|  60 |    1001 |          1 | 2022-05-02   | 10   | 1      | 1       | {'chrome': 1}                       | {'windows': 1}                                        | ['127.0.0.1']                                                                                                            |
|  61 |    1001 |          4 | 2022-05-02   | 11   | 2      | 1       | {'chrome': 2}                       | {'windows': 2}                                        | ['127.0.0.1']                                                                                                            |
